Position,Name,Rating,Team,Season
S,Rodney McLeod,67.2,Philadelphia Eagles,2020
QB,Ben Roethlisberger,78.2,Pittsburgh Steelers,2020
DI,Stephon Tuitt,89.1,Pittsburgh Steelers,2020
RB,James Conner,73.6,Pittsburgh Steelers,2020
DI,Dan McCullers,50.9,Pittsburgh Steelers,2020
RB,Anthony McFarland Jr.,70.3,Pittsburgh Steelers,2020
DI,Cameron Heyward,91.5,Pittsburgh Steelers,2020
TE,Eric Ebron,71.1,Pittsburgh Steelers,2020
Edge,T.J. Watt,91.3,Pittsburgh Steelers,2020
WR,JuJu Smith-Schuster,63.1,Pittsburgh Steelers,2020
Edge,Bud Dupree,77.7,Pittsburgh Steelers,2020
WR,Diontae Johnson,67.9,Pittsburgh Steelers,2020
LB,Devin Bush,62.9,Pittsburgh Steelers,2020
WR,James Washington,69.3,Pittsburgh Steelers,2020
LB,Vince Williams,76.2,Pittsburgh Steelers,2020
LT,Alejandro Villanueva,74.0,Pittsburgh Steelers,2020
CB,Joe Haden,70.3,Pittsburgh Steelers,2020
LG,Stefen Wisniewski,70.9,Pittsburgh Steelers,2020
CB,Steven Nelson,80.5,Pittsburgh Steelers,2020
C,Maurkice Pouncey,51.5,Pittsburgh Steelers,2020
CB,Mike Hilton,67.1,Pittsburgh Steelers,2020
RG,David DeCastro,71.0,Pittsburgh Steelers,2020
S,Terrell Edmunds,63.6,Pittsburgh Steelers,2020
RT,Matt Feiler,75.9,Pittsburgh Steelers,2020
S,Minkah Fitzpatrick,79.8,Pittsburgh Steelers,2020
QB,Baker Mayfield,73.5,Cleveland Browns,2020
DI,Sheldon Richardson,73.9,Cleveland Browns,2020
RB,Nick Chubb,88.7,Cleveland Browns,2020
DI,Andrew Billings,69.3,Cleveland Browns,2020
RB,Kareem Hunt,76.7,Cleveland Browns,2020
Edge,Myles Garrett,86.5,Cleveland Browns,2020
TE,Austin Hooper,78.3,Cleveland Browns,2020
Edge,Olivier Vernon,80.4,Cleveland Browns,2020
TE,David Njoku,66.3,Cleveland Browns,2020
LB,Mack Wilson,41.6,Cleveland Browns,2020
WR,Odell Beckham Jr.,68.7,Cleveland Browns,2020
LB,B.J. Goodson,58.4,Cleveland Browns,2020
WR,Jarvis Landry,78.2,Cleveland Browns,2020
LB,Sione Takitaki,79.0,Cleveland Browns,2020
LT,Jedrick Wills Jr.,88.7,Cleveland Browns,2020
CB,Denzel Ward,69.9,Cleveland Browns,2020
LG,Joel Bitonio,74.2,Cleveland Browns,2020
CB,Greedy Williams,54.6,Cleveland Browns,2020
C,JC Tretter,72.0,Cleveland Browns,2020
CB,Kevin Johnson,71.9,Cleveland Browns,2020
RG,Wyatt Teller,56.7,Cleveland Browns,2020
S,Karl Joseph,69.9,Cleveland Browns,2020
RT,Jack Conklin,80.5,Cleveland Browns,2020
S,Grant Delpit,66.3,Cleveland Browns,2020
QB,Aaron Rodgers,83.6,Green Bay Packers,2020
DI,Dean Lowry,59.0,Green Bay Packers,2020
RB,Aaron Jones,84.8,Green Bay Packers,2020
DI,Kenny Clark,79.5,Green Bay Packers,2020
RB,AJ Dillon,91.3,Green Bay Packers,2020
DI,Kingsley Keke,80.1,Green Bay Packers,2020
TE,Jace Sternberger,85.1,Green Bay Packers,2020
Edge,Za'Darius Smith,89.7,Green Bay Packers,2020
WR,Davante Adams,88.0,Green Bay Packers,2020
Edge,Preston Smith,66.5,Green Bay Packers,2020
WR,Devin Funchess,68.4,Green Bay Packers,2020
LB,Christian Kirksey,46.0,Green Bay Packers,2020
WR,Allen Lazard,69.6,Green Bay Packers,2020
LB,Oren Burks,45.3,Green Bay Packers,2020
LT,David Bakhtiari,79.4,Green Bay Packers,2020
CB,Jaire Alexander,71.2,Green Bay Packers,2020
LG,Elgton Jenkins,69.1,Green Bay Packers,2020
CB,Kevin King,62.6,Green Bay Packers,2020
C,Corey Linsley,73.8,Green Bay Packers,2020
CB,Chandon Sullivan,73.7,Green Bay Packers,2020
RG,Billy Turner,63.0,Green Bay Packers,2020
S,Darnell Savage Jr.,66.6,Green Bay Packers,2020
RT,Rick Wagner,59.0,Green Bay Packers,2020
S,Adrian Amos,75.7,Green Bay Packers,2020
QB,Philip Rivers,74.3,Indianapolis Colts,2020
DI,DeForest Buckner,81.4,Indianapolis Colts,2020
RB,Jonathan Taylor,91.1,Indianapolis Colts,2020
DI,Denico Autry,71.1,Indianapolis Colts,2020
RB,Marlon Mack,69.5,Indianapolis Colts,2020
Edge,Justin Houston,87.1,Indianapolis Colts,2020
TE,Jack Doyle,69.2,Indianapolis Colts,2020
Edge,Al-Quadin Muhammad,66.2,Indianapolis Colts,2020
WR,T.Y. Hilton,75.1,Indianapolis Colts,2020
LB,Anthony Walker,61.1,Indianapolis Colts,2020
WR,Michael Pittman Jr.,81.2,Indianapolis Colts,2020
LB,Darius Leonard,79.2,Indianapolis Colts,2020
WR,Parris Campbell,86.0,Indianapolis Colts,2020
LB,Bobby Okereke,77.3,Indianapolis Colts,2020
LT,Anthony Castonzo,81.3,Indianapolis Colts,2020
CB,Rock Ya-Sin,65.3,Indianapolis Colts,2020
LG,Quenton Nelson,91.2,Indianapolis Colts,2020
CB,Xavier Rhodes,47.9,Indianapolis Colts,2020
C,Ryan Kelly,73.0,Indianapolis Colts,2020
CB,Kenny Moore II,75.5,Indianapolis Colts,2020
RG,Mark Glowinski,60.5,Indianapolis Colts,2020
S,Khari Willis,69.5,Indianapolis Colts,2020
RT,Braden Smith,79.8,Indianapolis Colts,2020
S,Malik Hooker,69.5,Indianapolis Colts,2020
QB,Drew Lock,57.6,Denver Broncos,2020
DI,Shelby Harris,76.8,Denver Broncos,2020
RB,Melvin Gordon III,66.0,Denver Broncos,2020
DI,Mike Purcell,78.4,Denver Broncos,2020
RB,Phillip Lindsay,71.3,Denver Broncos,2020
DI,Jurrell Casey,74.2,Denver Broncos,2020
TE,Noah Fant,52.0,Denver Broncos,2020
Edge,Von Miller,79.3,Denver Broncos,2020
WR,Courtland Sutton,83.1,Denver Broncos,2020
Edge,Bradley Chubb,68.1,Denver Broncos,2020
WR,Jerry Jeudy,85.6,Denver Broncos,2020
LB,Alexander Johnson,88.6,Denver Broncos,2020
WR,KJ Hamler,72.5,Denver Broncos,2020
LB,Todd Davis,65.1,Denver Broncos,2020
LT,Garett Bolles,76.1,Denver Broncos,2020
CB,A.J. Bouye,58.4,Denver Broncos,2020
LG,Dalton Risner,64.5,Denver Broncos,2020
CB,Michael Ojemudia,83.4,Denver Broncos,2020
C,Lloyd Cushenberry III,61.1,Denver Broncos,2020
CB,Bryce Callahan,81.3,Denver Broncos,2020
RG,Graham Glasgow,74.1,Denver Broncos,2020
S,Kareem Jackson,82.3,Denver Broncos,2020
RT,Ja'Wuan James,72.4,Denver Broncos,2020
S,Justin Simmons,90.8,Denver Broncos,2020
QB,Russell Wilson,92.0,Seattle Seahawks,2020
DI,Poona Ford,68.4,Seattle Seahawks,2020
RB,Chris Carson,77.9,Seattle Seahawks,2020
DI,Jarran Reed,61.8,Seattle Seahawks,2020
TE,Will Dissly,79.6,Seattle Seahawks,2020
Edge,Rasheem Green,56.3,Seattle Seahawks,2020
TE,Greg Olsen,66.9,Seattle Seahawks,2020
Edge,Bruce Irvin,62.9,Seattle Seahawks,2020
WR,Tyler Lockett,81.9,Seattle Seahawks,2020
LB,Bobby Wagner,76.4,Seattle Seahawks,2020
WR,DK Metcalf,73.4,Seattle Seahawks,2020
LB,K.J. Wright,59.9,Seattle Seahawks,2020
WR,Phillip Dorsett II,65.6,Seattle Seahawks,2020
LB,Jordyn Brooks,90.5,Seattle Seahawks,2020
LT,Duane Brown,74.1,Seattle Seahawks,2020
CB,Shaquill Griffin,78.0,Seattle Seahawks,2020
LG,Mike Iupati,60.3,Seattle Seahawks,2020
CB,Quinton Dunbar,87.6,Seattle Seahawks,2020
C,B.J. Finney,56.9,Seattle Seahawks,2020
CB,Ugo Amadi,72.4,Seattle Seahawks,2020
RG,Damien Lewis,79.3,Seattle Seahawks,2020
