Position,Name,Rating,Team,season
WR,Courtland Sutton,71.2,Denver Broncos,2022
Edge,Bradley Chubb,70.7,Denver Broncos,2022
WR,Jerry Jeudy,68.7,Denver Broncos,2022
Edge,Randy Gregory,67.3,Denver Broncos,2022
WR,K.J. Hamler,55.9,Denver Broncos,2022
LB,Josey Jewell,83.5,Denver Broncos,2022
TE,Albert Okwuegbunam,67.3,Denver Broncos,2022
LB,Jonas Griffith,69.1,Denver Broncos,2022
LT,Garett Bolles,68.5,Denver Broncos,2022
CB,Pat Surtain II,66.1,Denver Broncos,2022
LG,Dalton Risner,68.5,Denver Broncos,2022
CB,Ronald Darby,61.1,Denver Broncos,2022
C,Lloyd Cushenberry III,64.2,Denver Broncos,2022
CB,K'Waun Williams,63.5,Denver Broncos,2022
RG,Quinn Meinerz,67.4,Denver Broncos,2022
S,Justin Simmons,74.8,Denver Broncos,2022
RT,Billy Turner,67.1,Denver Broncos,2022
S,Kareem Jackson,52.0,Denver Broncos,2022
QB,Matt Ryan,74.5,Indianapolis Colts,2022
DI,DeForest Buckner,71.9,Indianapolis Colts,2022
RB,Jonathan Taylor,87.0,Indianapolis Colts,2022
DI,Grover Stewart,72.6,Indianapolis Colts,2022
RB,Nyheim Hines,72.7,Indianapolis Colts,2022
Edge,Kwity Paye,69.6,Indianapolis Colts,2022
WR,Michael Pittman Jr.,78.0,Indianapolis Colts,2022
Edge,Yannick Ngakoue,47.1,Indianapolis Colts,2022
WR,Alec Pierce,76.9,Indianapolis Colts,2022
LB,Shaquille Leonard,79.0,Indianapolis Colts,2022
WR,Parris Campbell,62.5,Indianapolis Colts,2022
LB,Bobby Okereke,58.5,Indianapolis Colts,2022
TE,Mo Alie-Cox,66.4,Indianapolis Colts,2022
CB,Stephon Gilmore,77.1,Indianapolis Colts,2022
LT,Matt Pryor,76.5,Indianapolis Colts,2022
CB,Kenny Moore II,66.6,Indianapolis Colts,2022
LG,Quenton Nelson,69.1,Indianapolis Colts,2022
CB,Brandon Facyson,49.1,Indianapolis Colts,2022
C,Ryan Kelly,56.9,Indianapolis Colts,2022
S,Julian Blackmon,60.7,Indianapolis Colts,2022
RG,Danny Pinter,74.7,Indianapolis Colts,2022
S,Rodney McLeod,64.8,Indianapolis Colts,2022
RT,Braden Smith,80.6,Indianapolis Colts,2022
S,Nick Cross,67.7,Indianapolis Colts,2022
QB,Dak Prescott,82.4,Dallas Cowboys,2022
DI,Osa Odighizuwa,46.9,Dallas Cowboys,2022
RB,Ezekiel Elliott,69.3,Dallas Cowboys,2022
DI,Neville Gallimore,49.8,Dallas Cowboys,2022
RB,Tony Pollard,86.0,Dallas Cowboys,2022
Edge,DeMarcus Lawrence,90.9,Dallas Cowboys,2022
WR,CeeDee Lamb,84.1,Dallas Cowboys,2022
Edge,Dorance Armstrong,65.7,Dallas Cowboys,2022
WR,Michael Gallup,73.4,Dallas Cowboys,2022
LB,Micah Parsons,89.7,Dallas Cowboys,2022
WR,Jalen Tolbert,82.3,Dallas Cowboys,2022
LB,Leighton Vander Esch,60.8,Dallas Cowboys,2022
TE,Dalton Schultz,78.2,Dallas Cowboys,2022
LB,Anthony Barr,62.9,Dallas Cowboys,2022
LT,Tyler Smith,92.3,Dallas Cowboys,2022
CB,Trevon Diggs,58.5,Dallas Cowboys,2022
LG,Connor McGovern,67.8,Dallas Cowboys,2022
CB,Anthony Brown,66.0,Dallas Cowboys,2022
C,Tyler Biadasz,65.1,Dallas Cowboys,2022
CB,Jourdan Lewis,61.3,Dallas Cowboys,2022
RG,Zack Martin,93.4,Dallas Cowboys,2022
S,Jayron Kearse,75.9,Dallas Cowboys,2022
RT,Terence Steele,64.6,Dallas Cowboys,2022
S,Malik Hooker,70.4,Dallas Cowboys,2022
