spread,ou_value,fav_ml_result,fav_sp_result,ou_result,fav_ppg,und_ppg,fav_papg,und_papg,fav_ypg,und_ypg,fav_yapg,und_yapg,fav_topg,und_topg,fav_tofpg,und_tofpg,fav_avg_mov,und_avg_mov,fav_win_pct,und_win_pct,fav_last_5_win_pct,und_last_5_win_pct,fav_home_win_pct,und_home_win_pct,fav_away_win_pct,und_away_win_pct,ppg_diff,ypg_diff,topg_diff,avg_mov_diff,win_pct_diff,last_5_win_pct_diff,team_ovr_diff,ypg_sum,ppg_ratio,ypg_ratio,avg_mov_ratio
-4.5,55.0,1,1.0,0,37.0,23.33,28.67,21.67,408.0,324.33,497.33,399.33,0.67,1.0,2.0,1.33,8.33,1.67,1.0,0.33,1.0,0.33,1.0,0.0,1.0,0.5,13.670000000000002,83.67000000000002,-0.32999999999999996,6.66,0.6699999999999999,0.6699999999999999,5.049999999999997,732.3299999999999,1.59,1.26,4.99
-7.5,42.5,1,0.0,1,27.33,17.33,20.33,19.0,334.0,425.67,308.0,337.0,1.67,1.67,2.0,0.67,7.0,-1.67,0.67,0.33,0.67,0.33,1.0,0.0,0.5,1.0,10.0,-91.67000000000002,0.0,8.67,0.34,0.34,9.400000000000006,759.6700000000001,1.58,0.78,-4.19
-14.5,45.0,1,0.0,1,30.33,20.67,18.67,27.0,338.67,288.0,375.67,334.33,0.67,2.33,2.0,1.33,11.67,-6.33,0.67,0.33,0.67,0.33,0.5,1.0,1.0,0.0,9.659999999999997,50.670000000000016,-1.6600000000000001,18.0,0.34,0.34,17.320000000000007,626.6700000000001,1.47,1.18,-1.84
-13.5,50.0,1,0.0,0,29.67,12.67,23.67,26.33,449.67,272.33,372.67,357.67,1.33,2.33,1.67,1.0,6.0,-13.67,0.67,0.0,0.67,0.0,1.0,0.0,0.5,0.0,17.0,177.34000000000003,-1.0,19.67,0.67,0.67,1.1899999999999835,722.0,2.34,1.65,-0.44
-3.0,53.0,1,1.0,0,31.0,29.33,25.67,30.0,434.0,374.67,380.67,406.0,1.67,1.33,1.33,0.67,5.33,-0.67,1.0,0.67,1.0,0.67,1.0,1.0,1.0,0.5,1.6700000000000017,59.329999999999984,0.33999999999999986,6.0,0.32999999999999996,0.32999999999999996,-8.739999999999995,808.6700000000001,1.06,1.16,-7.96
-8.5,45.5,0,0.0,0,29.0,19.67,15.33,29.0,381.67,335.33,304.0,330.67,0.33,0.0,1.33,0.33,13.67,-9.33,0.67,0.0,0.67,0.0,0.0,0.0,1.0,0.0,9.329999999999998,46.34000000000003,0.33,23.0,0.67,0.67,11.689999999999998,717.0,1.47,1.14,-1.47
-11.0,48.5,1,1.0,0,30.33,29.0,20.0,22.0,433.33,409.0,355.67,357.67,0.33,1.0,1.0,2.33,10.33,7.0,1.0,0.67,1.0,0.67,1.0,1.0,1.0,0.0,1.3299999999999983,24.329999999999984,-0.6699999999999999,3.33,0.32999999999999996,0.32999999999999996,-0.8399999999999892,842.3299999999999,1.05,1.06,1.48
-5.0,56.5,1,1.0,0,40.67,30.0,28.33,36.0,459.67,419.0,362.0,463.33,0.0,1.0,1.0,1.67,12.33,-6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.670000000000002,40.670000000000016,-1.0,18.33,1.0,1.0,1.6600000000000108,878.6700000000001,1.36,1.1,-2.06
-3.5,44.0,0,0.0,0,30.0,21.25,23.0,20.25,371.5,343.25,312.0,345.25,1.5,1.25,2.0,1.0,13.0,0.0,0.75,0.75,0.75,0.75,1.0,0.5,0.5,1.0,8.75,28.25,0.25,13.0,0.0,0.0,14.760000000000005,714.75,1.41,1.08,inf
-2.5,53.5,0,0.0,0,26.5,24.75,34.5,25.5,396.0,390.25,448.25,352.25,0.75,1.25,1.25,1.75,-6.33,0.33,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.75,5.75,-0.5,-6.66,-0.5,-0.5,0.8799999999999955,786.25,1.07,1.01,-19.18
