Team,C,CB,DI,Edge,LB,LG,LT,QB,RB,RG,RT,S,TE,WR,Season
New England Patriots,79.6,78.67,63.27,58.7,65.1,86.3,73.8,80.4,86.6,86.7,74.9,75.07,65.25,75.1,2022
New Orleans Saints,63.6,67.4,76.8,86.55,78.9,61.9,69.8,74.2,65.4,57.6,84.1,73.43,62.7,75.07,2022
New York Giants,56.9,64.3,69.95,64.97,51.95,77.8,78.9,71.6,59.1,70.1,85.8,65.4,64.1,74.25,2022
New York Jets,75.9,73.13,52.4,74.63,43.1,73.6,71.5,59.3,71.0,66.8,71.1,68.85,65.15,71.33,2022
Philadelphia Eagles,84.5,71.6,72.87,65.25,71.0,69.6,88.3,77.1,71.1,62.4,83.3,68.4,90.7,77.4,2022
Pittsburgh Steelers,69.7,65.97,74.97,77.35,36.05,64.5,57.5,63.5,69.6,71.0,62.2,57.6,69.3,70.37,2022
San Francisco 49ers,58.8,73.27,65.05,79.57,69.95,81.3,96.6,59.9,76.8,76.8,69.8,69.25,90.7,77.43,2022
Seattle Seahawks,70.3,67.37,69.9,60.95,59.05,57.1,86.6,73.9,84.9,63.6,78.6,65.65,62.7,80.95,2022
Tampa Bay Buccaneers,89.6,66.6,68.63,65.95,53.7,92.2,80.5,91.7,82.95,86.4,84.3,76.7,63.5,77.3,2022
Tennessee Titans,76.4,71.0,66.97,71.4,65.45,57.9,70.0,83.7,77.3,69.2,78.5,88.15,59.9,73.77,2022
Washington Commanders,83.7,64.8,74.55,69.2,51.75,66.7,81.2,70.9,66.4,68.1,74.9,70.15,63.4,80.97,2022
Arizona Cardinals,61.4,60.33,37.9,62.23,56.95,64.3,72.3,92.0,58.9,65.4,83.0,69.35,62.5,64.57,2023
Atlanta Falcons,65.9,62.7,74.1,61.07,60.85,75.2,77.2,55.9,91.0,95.0,86.6,68.4,72.7,74.67,2023
Baltimore Ravens,74.6,65.0,73.73,67.95,70.9,65.2,69.4,85.2,79.2,74.7,78.6,80.75,80.7,70.63,2023
Buffalo Bills,61.0,63.77,70.55,76.97,62.75,53.5,73.8,91.8,73.2,61.4,53.4,67.05,78.35,67.8,2023
Carolina Panthers,63.1,59.77,72.35,66.97,73.55,57.3,65.3,91.5,73.85,62.6,69.3,66.4,64.5,70.67,2023
Chicago Bears,65.9,63.07,61.1,62.2,81.75,80.7,75.4,70.2,72.8,70.6,71.4,71.6,67.6,68.3,2023
Cincinnati Bengals,65.1,67.17,76.95,77.27,76.5,53.7,75.4,92.0,80.8,67.6,61.0,68.65,54.35,77.5,2023
Cleveland Browns,78.9,66.13,75.9,83.63,74.1,87.5,62.9,55.3,90.3,70.3,66.7,76.4,66.5,67.87,2023
Dallas Cowboys,60.5,70.9,74.05,85.8,69.3,73.3,60.9,71.8,75.2,72.8,73.9,74.05,66.1,73.7,2023
Denver Broncos,56.2,73.2,68.15,65.1,75.4,62.3,72.9,66.2,68.7,77.7,70.3,73.7,60.4,74.4,2023
Detroit Lions,77.9,71.25,61.85,76.37,75.55,66.1,74.4,72.4,75.25,68.4,80.6,75.93,80.1,72.73,2023
Green Bay Packers,60.4,71.77,68.15,76.5,63.05,72.3,79.8,78.7,83.75,62.6,68.3,61.05,72.5,70.03,2023
Houston Texans,71.5,61.93,69.25,72.8,65.15,37.7,80.0,88.9,78.75,68.2,67.9,67.65,68.3,72.87,2023
Indianapolis Colts,64.3,69.5,75.65,65.3,48.8,68.4,73.3,80.1,69.35,58.4,75.5,58.3,48.2,65.97,2023
Jacksonville Jaguars,52.0,66.83,69.35,68.3,59.3,60.5,67.2,78.6,74.1,60.6,72.6,60.7,67.6,67.87,2023
Kansas City Chiefs,89.9,71.27,64.65,64.83,72.7,78.4,59.3,92.0,66.85,72.3,59.5,64.9,91.3,70.17,2023
Las Vegas Raiders,62.8,65.8,57.0,76.33,55.45,61.9,84.1,71.4,91.6,45.4,75.3,55.85,80.65,77.1,2023
Los Angeles Chargers,74.0,58.37,57.3,76.67,53.6,69.8,84.0,77.9,71.1,62.2,59.8,68.05,70.6,79.83,2023
Los Angeles Rams,63.8,54.13,78.9,61.83,70.3,71.0,64.1,67.0,73.95,60.0,73.2,61.65,62.7,70.63,2023
Miami Dolphins,78.5,61.13,77.8,75.7,75.4,39.8,77.6,81.9,71.45,72.3,57.9,66.85,62.7,79.67,2023
Minnesota Vikings,67.5,53.07,74.9,76.5,72.75,73.4,90.4,79.3,63.95,57.0,82.7,63.55,70.9,78.97,2023
New England Patriots,74.5,75.37,60.85,77.2,76.95,54.6,67.4,67.5,76.6,79.3,64.3,75.55,60.5,69.27,2023
New Orleans Saints,61.2,53.07,71.2,75.73,73.7,50.6,73.6,66.6,79.35,56.6,77.9,76.5,64.7,80.2,2023
New York Giants,92.3,73.7,82.9,62.9,75.5,57.5,90.3,75.8,74.9,65.6,41.8,61.45,72.4,71.37,2023
New York Jets,69.6,78.23,80.0,76.03,62.5,56.8,57.8,77.5,68.95,71.8,2021.0,67.8,58.6,73.3,2023
Philadelphia Eagles,89.4,72.33,76.25,86.07,69.45,72.1,81.7,88.2,70.8,72.7,84.8,74.25,78.2,77.57,2023
Pittsburgh Steelers,67.1,71.27,66.8,80.05,60.8,72.7,78.2,75.5,73.65,66.9,61.2,81.7,75.5,68.07,2023
San Francisco 49ers,62.9,73.3,71.75,72.83,82.65,59.5,91.7,77.7,83.05,51.8,69.4,70.9,84.7,73.63,2023
Seattle Seahawks,64.8,72.3,56.85,64.87,71.75,72.5,63.1,79.3,84.2,57.1,68.4,69.25,64.5,70.23,2023
Tampa Bay Buccaneers,66.7,69.07,78.7,66.23,64.4,54.6,83.1,50.6,59.5,91.8,46.7,80.35,58.2,77.87,2023
Tennessee Titans,59.9,66.07,79.0,69.5,68.85,40.3,58.3,74.9,72.55,67.3,89.5,71.4,75.4,68.93,2023
Washington Commanders,60.0,81.6,71.15,74.87,59.75,43.6,71.6,68.5,79.4,71.6,61.6,74.95,52.0,73.63,2023
